System check identified some issues:

WARNINGS:
assistencias.Cliente.assistencias: (fields.W340) null has no effect on ManyToManyField.

System check identified 1 issue (0 silenced).
[01/Mar/2018 12:55:06] "GET /static/admin/img/search.svg HTTP/1.1" 200 458
[01/Mar/2018 12:55:08] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[01/Mar/2018 12:55:15] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 82564
[01/Mar/2018 12:55:29] "GET /admin HTTP/1.1" 301 0
[01/Mar/2018 12:55:44] "GET /admin/ HTTP/1.1" 302 0
[01/Mar/2018 12:55:44] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1849
[01/Mar/2018 12:55:45] "GET /static/admin/css/base.css HTTP/1.1" 200 16106
[01/Mar/2018 12:55:45] "GET /static/admin/css/login.css HTTP/1.1" 200 1203
[01/Mar/2018 12:55:45] "GET /static/admin/css/responsive.css HTTP/1.1" 200 17894
[01/Mar/2018 12:55:46] "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
[01/Mar/2018 12:55:50] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 80304
[01/Mar/2018 12:55:50] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 81348
[01/Mar/2018 12:56:01] "GET /admin HTTP/1.1" 301 0
[01/Mar/2018 12:56:08] "GET /admin/ HTTP/1.1" 302 0
[01/Mar/2018 12:56:12] "GET /admin/assistencias/cliente/2/change/ HTTP/1.1" 200 24085
[01/Mar/2018 12:56:14] "GET /admin HTTP/1.1" 301 0
[01/Mar/2018 12:56:14] "GET /admin/ HTTP/1.1" 302 0
[01/Mar/2018 12:56:14] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1849
[01/Mar/2018 12:56:16] "GET /static/admin/css/base.css HTTP/1.1" 200 16106
[01/Mar/2018 12:56:16] "GET /static/admin/css/login.css HTTP/1.1" 200 1203
[01/Mar/2018 12:56:16] "GET /static/admin/css/responsive.css HTTP/1.1" 200 17894
[01/Mar/2018 12:56:19] "GET /static/admin/css/forms.css HTTP/1.1" 200 8173
[01/Mar/2018 12:56:21] "GET /static/admin/css/widgets.css HTTP/1.1" 200 10340
[01/Mar/2018 12:56:21] "GET /static/admin/js/inlines.js HTTP/1.1" 200 13673
[01/Mar/2018 12:56:21] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[01/Mar/2018 12:56:21] "GET /static/admin/js/calendar.js HTTP/1.1" 200 7777
[01/Mar/2018 12:56:21] "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 20283
[01/Mar/2018 12:56:25] "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
[01/Mar/2018 12:56:28] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 80304
[01/Mar/2018 12:56:28] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 81348
[01/Mar/2018 12:56:32] "GET /static/admin/js/change_form.js HTTP/1.1" 200 712
[01/Mar/2018 12:56:33] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 495
[01/Mar/2018 12:56:33] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[01/Mar/2018 12:56:33] "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
[01/Mar/2018 12:56:33] "GET /admin/ HTTP/1.1" 200 8372
[01/Mar/2018 12:56:34] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 412
[01/Mar/2018 12:56:35] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 82564
[01/Mar/2018 12:56:35] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[01/Mar/2018 12:56:35] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[01/Mar/2018 12:56:42] "GET /admin/assistencias/cliente/ HTTP/1.1" 200 6503
[01/Mar/2018 12:56:53] "GET /static/admin/css/changelists.css HTTP/1.1" 200 6170
[01/Mar/2018 12:56:54] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[01/Mar/2018 12:56:54] "GET /static/admin/js/core.js HTTP/1.1" 200 7134
[01/Mar/2018 12:56:54] "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 363
[01/Mar/2018 12:56:54] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 6897
[01/Mar/2018 12:56:54] "GET /static/admin/js/actions.js HTTP/1.1" 200 6502
[01/Mar/2018 12:56:54] "GET /static/admin/js/urlify.js HTTP/1.1" 200 8729
[01/Mar/2018 12:56:55] "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1538
[01/Mar/2018 12:57:40] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 128820
[01/Mar/2018 12:57:47] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 258648
[01/Mar/2018 12:57:50] "GET /static/admin/img/search.svg HTTP/1.1" 200 458
[01/Mar/2018 12:57:58] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
